Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Hydraulikpumpe BG3";"Bypy";"FA276";"Landtechnik>Hydraulikprogramm>Hydraulikpumpen und Zubehör>Zahnradpumpen Standard>Zahnradpumpen BG3 Bondioli";"Unsere Hydraulikpumpen eignen sich für unterschiedlichste Anforderungen und speziell bei größerem Leistungsanspruch. Qualitativ hochwertige Hydraulikpumpen sichern erfolgreichen und vor allem konstanten Einsatz. Achten Sie bei Pumpenwechsel immer darauf, dass Sie unbedingt auch das Hydrauliköl erneuern. Kontrollieren Sie vor dem Einbau der Hydraulikpumpe die Drehrichtung anhand der alten Pumpe, da in den Typenreihen der Hersteller unterschiedliche Drehrichtungen möglich sind. Bei Verwendung von einem Übersetzungsgetriebe benötigen Sie Hydraulikpumpen mit folgenden Drehrichtungen: Zapfwellendrehrichtung RECHTS = Drehrichtung der Hydraulikpumpe RECHTS Zapfwellendrehrichtung LINKS = Drehrichtung der Hydraulikpumpe LINKS";https://www.faie.at/media/image/9c/71/28/art_pro_fo_mb_271_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikpumpen-und-zubehoer/zahnradpumpen-standard/zahnradpumpen-bg3-bondioli/5000276/hydraulikpumpe-bg3";lagernd (derzeit bis zu 10 Werktage Lieferzeit);219,00;398,00;""; 0;
"3-Wege-Konstant-Stromregler";"keine Angabe";"FA2084";"Landtechnik>Hydraulikprogramm>Hydraulikventile>Mengenregelung, Stromregler>Stromregler";"Aus einer Rohrleitung mit großer Fördermenge kann eine Teilmenge entzogen werden, die belastbar ist. Z.B. zur Versorgung zweier getrennter Hydraulikkreise mittels einer großen Hydraulikpumpe. Anschluss R hat Vorzug. Anschlüsse: P=Pumpe, R=einstellbarer Vorzugsstrom, E=Restmenge, QE=max. Eingangsmenge, QP= max. geregelte Ausgangsmenge an Anschluss R. Max Druck 210 bar.";https://www.faie.at/media/image/e6/b8/8f/art_pro_fo_mh_2084_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikventile/mengenregelung-stromregler/stromregler/5002084/3-wege-konstant-stromregler";lagernd (derzeit bis zu 10 Werktage Lieferzeit);169,00;185,00;""; 0;
"Anbaudreieck/Gerätedreieck im Set";"keine Angabe";"FA5314";"Landtechnik>Landmaschinenteile>Anbaugeräte und Zubehör>Kuppeldreiecke>Anbaudreieck/Schlepperdreieck";"Zum Ankuppeln von Front- und Heckgeräten, verstärkte Ausführung.";https://www.faie.at/media/image/bd/9a/9f/art_pro_fo_gg_54886gesamt_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/anbaugeraete-und-zubehoer/kuppeldreiecke/anbaudreieckschlepperdreieck/5005314/anbaudreieck/geraetedreieck-im-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);219,00;248,00;""; 15;
"Akku-Arbeitslampe 24 LED";"keine Angabe";"FA5958";"Haus, Hof und Garten>Haus & Hof-Bedarf>Haus und Hof>Beleuchtung, Funkhandys";"Praktische Arbeitsleuchte mit hoher Leuchtkraft 220 lm. Helligkeit 2-stufig einstellbar. Durch Milchglasoberfläche keine Blendung trotz starker Leuchtkraft. Bis zu 3 Std Leuchtdauer, Ladezeit ca. 2 Std. Praktischer Halteclip mit eingebauten Magnet für den universalen Einsatz.";https://www.faie.at/media/image/f6/af/da/art_pro_fo_de_5958_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/haus-hof-bedarf/haus-und-hof/beleuchtung-funkhandys/5005958/akku-arbeitslampe-24-led";lagernd (derzeit bis zu 10 Werktage Lieferzeit);29,95;49,95;"4893447620988"; 6,95;
"Kreiselheuerzinke Heurebell";"keine Angabe";"FA7817";"Landtechnik>Landmaschinenteile>Heugerätezinken & Ersatzteile>Kreiselheuer & Kreiselschwader>passend zu Niemeyer";"";https://www.faie.at/media/image/98/d0/35/art_pro_fo_hb_7817-s_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/heugeraetezinken-ersatzteile/kreiselheuer-kreiselschwader/passend-zu-niemeyer/5007817/kreiselheuerzinke-heurebell";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,90;7,90;""; 9,95;
"Kreiselheuerzinke Turboheuer";"keine Angabe";"FA7930";"Landtechnik>Landmaschinenteile>Heugerätezinken & Ersatzteile>Kreiselheuer & Kreiselschwader>passend zu Fella, New Holland";"";https://www.faie.at/media/image/53/31/ce/art_pro_fo_hb_7930-s_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/heugeraetezinken-ersatzteile/kreiselheuer-kreiselschwader/passend-zu-fella-new-holland/5007930/kreiselheuerzinke-turboheuer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,19;5,19;""; 9,95;
"Kuhschwanzhalter";"keine Angabe";"FA8449";"Tierhaltung>Tierhaltung>Rinder>Bändigung>Kuhschwanzhalter";"Allgäuer Modell, ca. 170 mm. Komplett mit Gummi, Perlonschnur. Preis per Stück.";https://www.faie.at/media/image/5f/90/04/art_pro_fo_fa_8449_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/rinder/baendigung/kuhschwanzhalter/5008449/kuhschwanzhalter";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,50;2,99;"4018653081402"; 9,95;
"PVC-Scheibe zu Rändelschraube, 5 Stk.";"keine Angabe";"FA8491";"Tierhaltung>Tierhaltung>Tränkebecken>Ventile, Ersatzteile, Zubehör";"Zu Tränkebecken Quelle.";https://www.faie.at/media/image/79/70/9f/art_pro_fo_fb_8491_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/traenkebecken/ventile-ersatzteile-zubehoer/5008491/pvc-scheibe-zu-raendelschraube-5-stk.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1,99;9,95;""; 9,95;
"Greifer-Drahtseil";"keine Angabe";"FA8933";"Forst>Forstketten, Seile, Seilwinden>Seile>Greiferseile";"Verzinkt, 1770 N/mm2 Nennfestigkeit. Preis per Meter und inkl. Ablängservice.";https://www.faie.at/media/image/70/35/5b/art_pro_fo_ce_8937_200x200.jpg;"https://www.faie.at/forst/forstketten-seile-seilwinden/seile/greiferseile/5008933/greifer-drahtseil";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,99;3,99;"4003984659987"; 9,95;
"TEWE-Seil aus Voll-Propylen";"keine Angabe";"FA8964";"Forst>Forstketten, Seile, Seilwinden>Seile>Kunststoffseile";"Extrem hohe Bruchlast, UV-beständig, speziell zur Anwendung in Landwirtschaft usw. Preis per Meter und inkl. Ablängservice.";https://www.faie.at/media/image/03/74/42/art_pro_fo_ce_8963_200x200.jpg;"https://www.faie.at/forst/forstketten-seile-seilwinden/seile/kunststoffseile/5008964/tewe-seil-aus-voll-propylen";lagernd (derzeit bis zu 10 Werktage Lieferzeit);0,89;1,39;"9011800102529"; 9,95;
"Motorsäge Stihl MS 170 30 cm";"Stihl";"FA11555";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Kleine Einsteiger-Benzinmotorsäge mit STIHL 2-MIX-Motor. Sehr gut zum Brennholzsägen, zum Bauen mit Holz und gut zum Fällen von Bäumen bis 30 cm Durchmesser (Schwertlänge 30cm). Einfache Bedienung dank Kombihebel, umweltfreundlicher und sparsamer 2-MIX-Motor, automatisches Kettenschmiersystem STIHL Ematic zur optimalen Schmierung der Kette.";https://www.faie.at/media/image/74/c5/4b/art_pro_fo_ca_11555_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5011555/motorsaege-stihl-ms-170-30-cm";nicht lagernd (10-14 Werktage Lieferzeit);209,90;239,00;""; 0;
"Motorsäge Stihl MS 251 40 cm";"Stihl";"FA11557";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Starke und kompakte 2,2 kW / 3,0 PS Motorsäge. Bis zu 20% weniger Kraftstoffverbrauch und bis zu 70% Abgasreduzierung im Vergleich zu leistungsgleichen Zweitaktmotoren ohne 2-Mix-Technologie. Mit STIHL Ematic-System - mit förderreduzierter Ölpumpe. Mit optimalem Führungsverhalten und einfacher Handhabung. Standardausführung mit: seitliche Kettenspannung Langzeit - Luftfiltersystem werkzeuglose Tankverschlüsse Ideal für die Brennholzernte im Wald.";https://www.faie.at/media/image/66/d8/2d/art_pro_fo_ca_11557_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5011557/motorsaege-stihl-ms-251-40-cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);599,00;629,00;""; 0;
"Motorsäge Stihl MS 261 C-M 40 cm";"Stihl";"FA11558";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Sehr leichte, handliche und leistungsstarke Profi-Motorsäge mit M-Tronic. Die Kraftstoffdosierung wird elektronisch geregelt und automatisch an die Umweltbedingungen angepasst. Die Motorsäge hat immer die optimale Motorleistung. Mit HD2-Filter, mengenregulierbarer Ölpumpe und praktischen Ausstattungsdetails wie rostfreiem Edelstahl-Schalldämpfer, verliersicheren Muttern am Kettenraddeckel und einteiliger Haube mit drei Schnellverschlüssen. Bis zu 20 % weniger Kraftstoffverbrauch und bis zu 50 % Abgasreduzierung im Vergleich zu leistungsgleichen STIHL Zweitaktmotoren ohne 2-MIX-Technologie. Universell einsetzbar bei der Kultur- und Dickungspflege, bei der Durchforstung im Stangen- und schwachen Baumholz, beim Bauen und beim Brennholzsägen.";https://www.faie.at/media/image/2f/06/47/art_pro_fo_ca_11558_v2_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5011558/motorsaege-stihl-ms-261-c-m-40-cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);979,00;1029,00;""; 0;
"HSW-PREMIUM® Kanüle mit Gewinde-Ansatz, 10 Stk.";"keine Angabe";"FA12571";"Tierhaltung>Tierhaltung>Schweine>Veterinärbedarf>Kanülen, Einwegspritzen";"HSW-PREMIUM® Kanüle mit Gewinde-Ansatz ausgeprägter Bison-Schliff aus federhart gezogenem Chrom-Nickel-Edelstahl hergestellt sehr dickwandiges Kanülen-Rohr mit hoher Stabilität und extremer Elastizität großzügig geformte Metall-Ansätze das Kanülen-Rohr ist im Ansatz sicher verankert und gegen Verdrehung gesichert die Ansätze sind mit mm- und Gauge-Angaben gestempelt die Kanülen werden in einem Klarsicht-Container geliefert das Etikett weist die Abmessung nach dem deutschen, englischen und französischen System aus das Etikett ist mit Farbcode nach ISO zur schnellen Identifizierung des Durchmessers versehen 10 Kanülen / Kunststoffbox";https://www.faie.at/media/image/5c/69/a5/art_pro_fo_fe_12571-2_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/schweine/veterinaerbedarf/kanuelen-einwegspritzen/5012571/hsw-premium-kanuele-mit-gewinde-ansatz-10-stk.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,99;9,99;"4035873000952"; 9,95;
"Ballengabel für Heu-, Stroh- und Silageballen";"Schneider Fahrzeug- & Containe";"FA15536";"Landtechnik>Landmaschinenteile>Anbaugeräte und Zubehör>Ballentransportgeräte>Ballenspieße";"Zum Anbau direkt an die Dreipunkthydraulik oder mittels Schnellkuppler-Dreieck Kat. 2. Verstärkte Ausführung, Zinkenlänge 1100 mm.";https://www.faie.at/media/image/86/2d/aa/art_pro_fo_gg_15536_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/anbaugeraete-und-zubehoer/ballentransportgeraete/ballenspiesse/5015536/ballengabel-fuer-heu-stroh-und-silageballen";nicht lagernd (10-14 Werktage Lieferzeit);327,00;349,00;""; 15;
"Betonrüttler";"Zipper";"FA15927";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Sonstige Maschinen>Mobile Maschinen";"Betonverdichter mit starkem 4 Takt OHV Motor mit 4kW (~5,5PS) Leistung. Inkl. flexiblem 6m Schlauch mit Schnellkupplungssystem. Gewicht nur 22 kg.";https://www.faie.at/media/image/84/13/e4/art_pro_fo_db_15927_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/sonstige-maschinen/mobile-maschinen/5015927/betonruettler";lagernd (derzeit bis zu 10 Werktage Lieferzeit);279,00;298,00;"9120039231617"; 25;
"Hydraulikpumpe passend zu Steyr";"keine Angabe";"FA16331";"Landtechnik>Hydraulikprogramm>Hydraulikpumpen und Zubehör>Zahnradpumpen typenzugeordnet>passend zu Steyr";"";https://www.faie.at/media/image/f2/b2/a8/art_pro_fo_mb_16328gesamt_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikpumpen-und-zubehoer/zahnradpumpen-typenzugeordnet/passend-zu-steyr/5016331/hydraulikpumpe-passend-zu-steyr";lagernd (derzeit bis zu 10 Werktage Lieferzeit);139,00;185,00;""; 6,95;
"Hydraulikpumpe";"Bypy";"FA16333";"Landtechnik>Hydraulikprogramm>Hydraulikpumpen und Zubehör>Zahnradpumpen typenzugeordnet>passend zu Steyr";"";https://www.faie.at/media/image/d5/45/00/art_pro_fo_mb_16333gesamt_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikpumpen-und-zubehoer/zahnradpumpen-typenzugeordnet/passend-zu-steyr/5016333/hydraulikpumpe";lagernd (derzeit bis zu 10 Werktage Lieferzeit);295,00;398,00;""; 0;
"Energieholzgreifer Fällgreifer HT200 mit Rotator-Aufnahme";"FAIE";"FA16777";"Forst>Holzgreifer, Rotatore, Bagger>Holzgreifer, Zubehör>Holzgreifer";"Der Fällgreifer ist die perfekte Hilfe für die Energieholz- und Schwachholz-Ernte oder Durchforstung, sehr stabiles, geschraubtes Schneidmesser mit geschwungener Schneide für bessere Schnittleistung bis zu maximalen 13 - 20 cm Stammdurchmesser, je nach Holzart, perfekt für den Einsatz an einem Forstkran / Rückewagen oder 3,5 – 7,0 t Bagger, stabiler Schneidgreifer mit automatischer Neigungsverstellung und Flansch-Aufnahme für einen Rotator, für die automatische Neigungsverstellung der Zange ist kein zusätzliches Ventil nötig. Zuerst stellt sich der Fällgreifer waagrecht, dann schließt sich die Zange. Nach dem Abschneiden des Baumes stellt sich die Zange automatisch wieder senkrecht, und unterstützt somit das Umlegen. Flanschmaße: 4-Loch 140 x 140mm und 150 x 85mm, 6-Loch Lochkreis 173mm. Hydraulikleistung ca. 40 – 60 L/min, und ein Betriebsdruck von 190 – 220 bar, Gewicht 225 kg";https://www.faie.at/media/image/54/94/50/art_pro_fo_ch_16777_200x200.jpg;"https://www.faie.at/forst/holzgreifer-rotatore-bagger/holzgreifer-zubehoer/holzgreifer/5016777/energieholzgreifer-faellgreifer-ht200-mit-rotator-aufnahme";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4430,00;5100,00;""; 39;
"Bundjacke Victory Line";"Ötscher";"FA17686";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Jacken, Mäntel, Westen, Shirts";"Hochwertige und moderne Bundjacke gemacht in Österreich, Marke victory_line mit Druckknopfverschluss, Reverskragen, Brusttasche mit Druckknopfverschluss, Innentasche, Brustblasbalgtasche mit integrierter Handytasche mit Klettlasche, 2 Seitentaschen mit Verstärkung, Seitentascheneingriffe, Rückensattel mit Paspel, Ärmelbündchen mit Druckknopfverschluss und Bundverstellung. Farbe grau/schwarz. Material: Mischgewebe 245 g/m². Größe S - XXL";https://www.faie.at/media/image/47/f8/76/art_pro_fo_da_80040_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/jacken-maentel-westen-shirts/5017686/bundjacke-victory-line";lagernd (derzeit bis zu 10 Werktage Lieferzeit);69,95;79,95;"9002231565205"; 6,95;
"Bundhose Victory Line";"Ötscher";"FA17709";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Hosen";"Arbeitsbundhosen für den täglichen Arbeitseinsatz Marke victory_line Bundhose mit Gürtelschlaufen, gummierter Knopf im Bund, Schlitz mit Reißverschluss 2 Eingrifftaschen mit Blasbalg und Paspel, Schlüsselring im Bund, Schenkeltasche links mit Blasbalg Patte mit verdecktem Klettverschluss, auf linker Schenkeltasche eine Handytasche mit Klettlasche und 2 Stifttasche doppelte Schenkeltasche rechts aus Cordura, Stifttasche vorne aufgenäht, vorgeformte Knie Knietaschen aus Cordura, 2 spitze Hinterhosen-Blasbalgtaschen mit Patten und verdecktem Klettverschluss. Material: Mischgewebe 245 g/m². Größe 44-60.";https://www.faie.at/media/image/5a/d3/1c/art_pro_fo_da_80041_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/hosen/5017709/bundhose-victory-line";lagernd (derzeit bis zu 10 Werktage Lieferzeit);69,95;79,95;"9002231564079"; 6,95;
"Rasenroboter Stiga Autoclip 225S";"STIGA";"FA18195";"Haus, Hof und Garten>Garten>Gartengeräte>Rasenroboter";"Der vollautomatische Rasenroboter bzw. Mähroboter lädt sich selbstständig wieder auf wenn die Spannung der Lithium-Ionen- Batterie (2,5Ah) nachlässt. Dank eines Regensensors fährt er bei einsetzendem Regen automatisch zurück in seine Garage und wartet auf Wetterbesserung- so wird der Rasen geschont. Der versäumte Arbeitseinsatz wird bei schönem Wetter problemlos fortgesetzt. Arbeitszeit ca. 2 Stunden, Messer 25 cm, Schnitthöhe von 25-60mm variabel, für max. 4 Mähflächen, geeignet für Flächen bis 1100m², PIN-Code gesichert. Gesamtgewicht: 9,8kg.";https://www.faie.at/media/image/ba/44/2b/art_pro_fo_db_18195_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/rasenroboter/5018195/rasenroboter-stiga-autoclip-225s";nicht lagernd (10-14 Werktage Lieferzeit);1849,90;2099,00;"8008984632226"; 0;
"Motorsäge Stihl MS 180 30 cm";"Stihl";"FA18260";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Mehr Leistung und seitliche Kettenspannung Einstiegsmodell zum Brennholzsägen und für die Grundstückspflege, für Heimwerker und Handwerker. Hervorragend geeignet auch zum Fällen von kleinen Bäumen oder zum Bauen mit Holz.";https://www.faie.at/media/image/2d/ab/95/art_pro_fo_ca_18260_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5018260/motorsaege-stihl-ms-180-30-cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);299,00;309,00;""; 0;
"Reifenwuchtmaschine ATH W22";"ATH Heinl";"FA18430";"Werkzeuge Maschinen>Werkstattbedarf>Reifentechnik>Wuchtmaschinen";"Radauswuchtmaschine für PKW- und LKW-Räder. Elektromotorantrieb mit Laufruhe Optimierung. Mikroprozessorgesteuert mit Dreifach-LED Anzeige. Digitale und optische Positionsanzeige der Gewichte durch LED und Laser. Programmwahl: statische und dynamische, Alu Programme, Alu Gewichts Optimierung inkl. Spitting Funktion. Integrierte Rad-Innenbeleuchtung. Spannkonen von 44-133mm mit Konushalterungen. Technische Daten: Mittellochfelgendurchmesser Felge maximal: 44-174mm Messzeit: 7 Sekunden Messtoleranz: 1g Felgenbreite max.: 1,5-20“ Felgendurchmesser max.: 13-24“ Radgewicht max.: 65kg Gewicht: 118kg";https://www.faie.at/media/image/b1/bb/22/art_pro_fo_wb_18430_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/reifentechnik/wuchtmaschinen/5018430/reifenwuchtmaschine-ath-w22";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1399,00;1999,00;""; 90;
"Grünes Öl *";"keine Angabe";"FA19260";"Tierhaltung>Tierhaltung>Schweine>Hygiene>Desinfektion, Pflege";"Tierpflegespray für Tiere. Besteht aus pflanzlichen Ölen, enthält keine reizenden Stoffe wie Alkohol, Formaldehyd oder Antibiotica, dadurch gibt es auch keine Rückstände und Hemmstoffe in Milch und Fleisch. Durch die pflanzlichen Öle wird die Haut- und Schleimhautregeneration gefördert. Es ensteht kein Brennen auf der Haut, also besser als Blauspray. Inhalt: 200 ml * Biozidprodukte vorsichtig verwenden! Vor Gebrauch stets Kennzeichnung und Produktinformationen lesen.";https://www.faie.at/media/image/81/eb/70/art_pro_fo_fa_19260_v2_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/schweine/hygiene/desinfektion-pflege/5019260/gruenes-oel";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,99;14,95;"9120027230011"; 9,95;
"Mollblechkante VRP350W";"iQparts";"FA19723";"Landtechnik>Landmaschinenteile>Bodenbearbeitung>Pflugersatzteile>passend zu Rabe";"";;"https://www.faie.at/landtechnik/landmaschinenteile/bodenbearbeitung/pflugersatzteile/passend-zu-rabe/5019723/mollblechkante-vrp350w";lagernd (derzeit bis zu 10 Werktage Lieferzeit);13,90;19,90;""; 9,95;
"Rasentrimmer Stihl FS 38";"Stihl";"FA19991";"Haus, Hof und Garten>Garten>Gartengeräte>Motorsensen und Trimmer";"Motortrimmer mit einstellbarem Bügelgriff. Sehr gut zum Rasen trimmen und für Ausputzarbeiten um Bäume, Wege und Treppen auf dem privaten Gartengrundstück. Technische Daten: Hubraum cm³: 27,2 Leistung kW/PS: 0,65/0,9 Leistung kW: 0,65 Leistung PS: 0,9 Gewicht kg: 4,2 Standard-Schneidwerkzeug: Mähkopf AutoCut C 6-2 Schalldruckpegel mit Metallwerkzeug dB(A): 96 Schalldruckpegel mit Kunststoffwerkzeug dB(A): 94 Schallleistungspegel mit Metallwerkzeug dB(A): 108 Schallleistungspegel mit Kunststoffwerkzeug dB(A): 108 Vibrationswert mit Kunststoffwerkzeug links/rechts m/s: 8/8 Tankinhalt l: 0,33 Schneidkreis Durchmesser mm: 380 Schneidwerkzeug: AutoCut C5-2 Vibrationswert mit Metallwerkzeug links/rechts m/s²: 8/8 Gesamtlänge cm: 147";https://www.faie.at/media/image/07/16/f2/art_pro_fo_db_19991_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/motorsensen-und-trimmer/5019991/rasentrimmer-stihl-fs-38";lagernd (derzeit bis zu 10 Werktage Lieferzeit);179,95;199,00;""; 0;
"Motorsense Stihl FS 55";"Stihl";"FA19995";"Haus, Hof und Garten>Garten>Gartengeräte>Motorsensen und Trimmer";"Vielseitige Motorsense mit Zweihandgriff zum ergonomischen Flächenmähen. Gut zum Rasen trimmen und für Ausputzarbeiten auf dem privaten Gartengrundstück. Mit passendem Schneidwerkzeug auch zum Mähen von verfilztem Gras, Schilf und Brennnesseln. TECHNISCHE DATEN Hubraum 27,2 cm³ Leistung 0,75/1,0 kW/PS Gewicht 4,9 kg ohne Schneidwerkzeug Standard-Schneidwerkzeug: Grasschneideblatt 230-2 Schalldruckpegel mit Metallwerkzeug dB(A) 2): 94 Schalldruckpegel mit Kunststoffwerkzeug dB(A) 2): 95 Schallleistungspegel mit Metallwerkzeug dB(A) 2): 107 Schallleistungspegel mit Kunststoffwerkzeug dB(A) 2): 108 Tankinhalt l: 0,33 Schneidkreis Durchmesser max. 420 mm";https://www.faie.at/media/image/e8/64/d9/art_pro_fo_db_19995_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/motorsensen-und-trimmer/5019995/motorsense-stihl-fs-55";lagernd (derzeit bis zu 10 Werktage Lieferzeit);299,00;309,00;""; 0;
"Motorsense Stihl FS 56 C-E";"Stihl";"FA20034";"Haus, Hof und Garten>Garten>Gartengeräte>Motorsensen und Trimmer";"Neue vielseitige Motorsense mit vereinfachter Startprozedur. Erhöhter Startkomfort durch Ergo Start (E). Zweihandgriff zum ergonomischen Flächenmähen. Gut zum Rasen trimmen und für Ausputzarbeiten auf dem privaten Gartengrundstück. Mit passendem Schneidwerkzeug auch zum Mähen von verfilztem Gras, Schilf und Brennnesseln. Technische Daten: Gewicht: 5,2 kg (unbetankt, ohne Schneidwerkzeug) Schallleistungspegel mit Metallwerkzeug dB(A) 2): 107 Tankinhalt: 0,34 Liter Hubraum: 27,2 cm³ Schalldruckpegel mit Kunststoffwerkzeug dB(A) 2): 93 Schalldruckpegel mit Metallwerkzeug dB(A) 2): 94 Gesamtlänge: 170 cm Schallleistungspegel mit Kunststoffwerkzeug dB(A) 2): 107 Schneidkreis Durchmesser: 420 mm Vibrationswert mit Kunststoffwerkzeug links/rechts m/s² 4): 4,7/3,8 Vibrationswert mit Metallwerkzeug links/rechts m/s² 4): 5,5/5,5 Leistung: 0,8kW/1,1PS Schneidwerkzeug: Mähkopf AutoCut C25-2 mit T...";https://www.faie.at/media/image/14/26/40/art_pro_fo_db_20034_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/motorsensen-und-trimmer/5020034/motorsense-stihl-fs-56-c-e";nicht lagernd (10-14 Werktage Lieferzeit);389,00;399,00;""; 0;
"Klinge Busatis ohne Pilz, Original ESM, 25 Stk. Packung";"ESM";"FA20178";"Landtechnik>Landmaschinenteile>Mähwerksersatzteile>Mähmesserklingen, Nieten>Mähmesserklingen";"Original ESM Klinge passend zu Busatis Doppelmessermähwerken BM321, BM1102, BM1124, BM1260. Made in Germany. 1 Packung = 25 Stück";https://www.faie.at/media/image/69/9f/ee/art_pro_fo_ha_20178_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/maehwerksersatzteile/maehmesserklingen-nieten/maehmesserklingen/5020178/klinge-busatis-ohne-pilz-original-esm-25-stk.-packung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);49,90;56,25;""; 6,95;
"Klinge Busatis mit Pilz, Original ESM, 20 Stk. Packung";"ESM";"FA20180";"Landtechnik>Landmaschinenteile>Mähwerksersatzteile>Mähmesserklingen, Nieten>Mähmesserklingen";"Original ESM Klinge mit Pilz passend zu Busatis Doppelmessermähwerken BM321, BM1102, BM1124, BM1260. Made in Germany. 1 Packung = 20 Stück";https://www.faie.at/media/image/6c/3d/82/art_pro_fo_ha_20180_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/maehwerksersatzteile/maehmesserklingen-nieten/maehmesserklingen/5020180/klinge-busatis-mit-pilz-original-esm-20-stk.-packung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);75,90;85,00;""; 6,95;
"Klinge Busatis Bidux, Original ESM, 25 Stk. Packung";"ESM";"FA20181";"Landtechnik>Landmaschinenteile>Mähwerksersatzteile>Mähmesserklingen, Nieten>Mähmesserklingen";"Original Klinge passend zu Busatis Bidux Doppelmessermähwerken. Made in Germany. Original ESM Carbodux Klinge. 1 Packung = 25 Stück";https://www.faie.at/media/image/3a/5e/83/art_pro_fo_ha_20181_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/maehwerksersatzteile/maehmesserklingen-nieten/maehmesserklingen/5020181/klinge-busatis-bidux-original-esm-25-stk.-packung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);60,90;68,70;""; 6,95;
"Klinge mit Pilz Busatis Bidux, Original ESM, 20 Stk. Packung";"ESM";"FA20232";"Landtechnik>Landmaschinenteile>Mähwerksersatzteile>Mähmesserklingen, Nieten>Mähmesserklingen";"Original Klinge passend zu Busatis Bidux Doppelmessermähwerken. Made in Germany. Original ESM Carbodux Klinge. 1 Packung = 20 Stück";https://www.faie.at/media/image/b8/52/30/art_pro_fo_ha_20232_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/maehwerksersatzteile/maehmesserklingen-nieten/maehmesserklingen/5020232/klinge-mit-pilz-busatis-bidux-original-esm-20-stk.-packung";nicht lagernd (10-14 Werktage Lieferzeit);86,00;96,00;""; 6,95;
